a,b,new_imp
0.50000,0.10000,0.25790
0.50000,0.15000,0.28110
0.50000,0.20000,0.28960
0.50000,0.25000,0.32450
0.50000,0.30000,0.35520
0.50000,0.35000,0.39540
0.50000,0.40000,0.42400
0.50000,0.45000,0.45720
0.50000,0.50000,0.50310
0.50000,0.55000,0.53930
0.50000,0.60000,0.57070
0.50000,0.65000,0.61010
0.50000,0.70000,0.64030
0.50000,0.75000,0.67560
0.50000,0.80000,0.69700
0.50000,0.85000,0.72180
0.50000,0.90000,0.73420
0.50000,0.95000,0.74790
0.50000,1.00000,0.74610
0.55000,0.00000,0.29790
0.55000,0.05000,0.29140
0.55000,0.10000,0.29280
0.55000,0.15000,0.31670
0.55000,0.20000,0.34040
0.55000,0.25000,0.36550
0.55000,0.30000,0.38450
0.55000,0.35000,0.42600
0.55000,0.40000,0.45920
0.55000,0.45000,0.49930
0.55000,0.50000,0.53860
0.55000,0.55000,0.57620
0.55000,0.60000,0.61090
0.55000,0.65000,0.65110
0.55000,0.70000,0.68460
0.55000,0.75000,0.71720
0.55000,0.80000,0.74370
0.55000,0.85000,0.76270
0.55000,0.90000,0.77420
0.55000,0.95000,0.78710
0.55000,1.00000,0.79350
0.60000,0.00000,0.32530
0.60000,0.05000,0.33710
0.60000,0.10000,0.34370
0.60000,0.15000,0.35340
0.60000,0.20000,0.38320
0.60000,0.25000,0.39880
0.60000,0.30000,0.42970
0.60000,0.35000,0.46820
0.60000,0.40000,0.50210
0.60000,0.45000,0.53450
0.60000,0.50000,0.57280
0.60000,0.55000,0.62400
0.60000,0.60000,0.64930
0.60000,0.65000,0.68690
0.60000,0.70000,0.72210
0.60000,0.75000,0.75140
0.60000,0.80000,0.77280
0.60000,0.85000,0.80140
0.60000,0.90000,0.81150
0.60000,0.95000,0.82640
0.60000,1.00000,0.82250
0.65000,0.00000,0.36720
0.65000,0.05000,0.37220
0.65000,0.10000,0.37250
0.65000,0.15000,0.38150
0.65000,0.20000,0.41040
0.65000,0.25000,0.44060
0.65000,0.30000,0.47360
0.65000,0.35000,0.50950
0.65000,0.40000,0.54180
0.65000,0.45000,0.57210
0.65000,0.50000,0.61220
0.65000,0.55000,0.65460
0.65000,0.60000,0.68010
0.65000,0.65000,0.72460
0.65000,0.70000,0.75920
0.65000,0.75000,0.78780
0.65000,0.80000,0.81130
0.65000,0.85000,0.83790
0.65000,0.90000,0.85380
0.65000,0.95000,0.86260
0.65000,1.00000,0.85760
0.70000,0.00000,0.39510
0.70000,0.05000,0.41100
0.70000,0.10000,0.41040
0.70000,0.15000,0.42410
0.70000,0.20000,0.44130
0.70000,0.25000,0.46900
0.70000,0.30000,0.48920
0.70000,0.35000,0.54190
0.70000,0.40000,0.57270
0.70000,0.45000,0.60660
0.70000,0.50000,0.64500
0.70000,0.55000,0.69160
0.70000,0.60000,0.72930
0.70000,0.65000,0.76350
0.70000,0.70000,0.79030
0.70000,0.75000,0.81710
0.70000,0.80000,0.85130
0.70000,0.85000,0.86890
0.70000,0.90000,0.88240
0.70000,0.95000,0.89340
0.70000,1.00000,0.90020
0.75000,0.00000,0.42940
0.75000,0.05000,0.42670
0.75000,0.10000,0.44540
0.75000,0.15000,0.45440
0.75000,0.20000,0.47550
0.75000,0.25000,0.50800
0.75000,0.30000,0.52500
0.75000,0.35000,0.56470
0.75000,0.40000,0.59870
0.75000,0.45000,0.63020
0.75000,0.50000,0.67990
0.75000,0.55000,0.71550
0.75000,0.60000,0.75350
0.75000,0.65000,0.79370
0.75000,0.70000,0.82290
0.75000,0.75000,0.85980
0.75000,0.80000,0.87940
0.75000,0.85000,0.89940
0.75000,0.90000,0.91450
0.75000,0.95000,0.92050
0.75000,1.00000,0.92070
0.80000,0.00000,0.45840
0.80000,0.05000,0.44900
0.80000,0.10000,0.46660
0.80000,0.15000,0.47990
0.80000,0.20000,0.50150
0.80000,0.25000,0.52630
0.80000,0.30000,0.56130
0.80000,0.35000,0.58060
0.80000,0.40000,0.62800
0.80000,0.45000,0.66750
0.80000,0.50000,0.70200
0.80000,0.55000,0.73810
0.80000,0.60000,0.76930
0.80000,0.65000,0.81510
0.80000,0.70000,0.84580
0.80000,0.75000,0.88310
0.80000,0.80000,0.90600
0.80000,0.85000,0.92450
0.80000,0.90000,0.94350
0.80000,0.95000,0.94860
0.80000,1.00000,0.95430
0.85000,0.00000,0.48470
0.85000,0.05000,0.48390
0.85000,0.10000,0.48820
0.85000,0.15000,0.50760
0.85000,0.20000,0.52160
0.85000,0.25000,0.54240
0.85000,0.30000,0.57530
0.85000,0.35000,0.60960
0.85000,0.40000,0.65780
0.85000,0.45000,0.68250
0.85000,0.50000,0.72700
0.85000,0.55000,0.75470
0.85000,0.60000,0.79340
0.85000,0.65000,0.83530
0.85000,0.70000,0.86820
0.85000,0.75000,0.90100
0.85000,0.80000,0.92240
0.85000,0.85000,0.94760
0.85000,0.90000,0.96220
0.85000,0.95000,0.96740
0.85000,1.00000,0.97290
0.90000,0.00000,0.49580
0.90000,0.05000,0.49440
0.90000,0.10000,0.49960
0.90000,0.15000,0.50770
0.90000,0.20000,0.53550
0.90000,0.25000,0.55880
0.90000,0.30000,0.58340
0.90000,0.35000,0.61850
0.90000,0.40000,0.65620
0.90000,0.45000,0.69900
0.90000,0.50000,0.73400
0.90000,0.55000,0.78380
0.90000,0.60000,0.81010
0.90000,0.65000,0.85740
0.90000,0.70000,0.88370
0.90000,0.75000,0.91260
0.90000,0.80000,0.93770
0.90000,0.85000,0.96120
0.90000,0.90000,0.97390
0.90000,0.95000,0.98630
0.90000,1.00000,0.98780
0.95000,0.00000,0.49460
0.95000,0.05000,0.49530
0.95000,0.10000,0.51200
0.95000,0.15000,0.52540
0.95000,0.20000,0.54500
0.95000,0.25000,0.57140
0.95000,0.30000,0.59900
0.95000,0.35000,0.62910
0.95000,0.40000,0.66800
0.95000,0.45000,0.70520
0.95000,0.50000,0.74330
0.95000,0.55000,0.78450
0.95000,0.60000,0.82350
0.95000,0.65000,0.85980
0.95000,0.70000,0.89400
0.95000,0.75000,0.92840
0.95000,0.80000,0.95080
0.95000,0.85000,0.96660
0.95000,0.90000,0.98600
0.95000,0.95000,0.99400
